E(eV),T(E)
-1.328320802005013235e+00,1.596771895703988087e-01
-1.278195488721804551e+00,1.711762054996937843e-01
-1.228070175438597644e+00,1.880014751165222653e-01
-1.177944862155388961e+00,2.128762808928109096e-01
-1.127819548872180277e+00,2.506928261453155171e-01
-1.077694235588973370e+00,3.107640339472751978e-01
-1.027568922305764687e+00,4.116252779719593580e-01
-9.774436090225577800e-01,5.879883259005176388e-01
-9.273182957393490966e-01,8.619976299387992480e-01
-8.771929824561404132e-01,9.826637337281988183e-01
-8.270676691729335062e-01,6.186142737884680054e-01
-7.769423558897248228e-01,2.840870578456418660e-01
-7.268170426065161394e-01,1.304852810810804009e-01
-6.766917293233092323e-01,6.398709322768286745e-02
-6.265664160401005489e-01,3.317068346240645282e-02
-5.764411027568918655e-01,1.782852098938712479e-02
-5.263157894736849585e-01,9.760480499142572958e-03
-4.761904761904762751e-01,5.358058227918438207e-03
-4.260651629072693680e-01,2.905235671541617822e-03
-3.759398496240606846e-01,1.530883350967230782e-03
-3.258145363408520012e-01,7.686417569003957959e-04
-2.756892230576450942e-01,3.579931259349683720e-04
-2.255639097744364108e-01,1.484941708985093383e-04
-1.754385964912295037e-01,5.116600229169342368e-05
-1.253132832080208203e-01,1.274226399483175035e-05
-7.518796992481213692e-02,1.604041109724716263e-06
-2.506265664160522988e-02,1.951932902395810186e-08
2.506265664160345352e-02,1.951932902395258291e-08
7.518796992481213692e-02,1.604041109724716263e-06
1.253132832080190440e-01,1.274226399483107612e-05
1.754385964912277274e-01,5.116600229169134337e-05
2.255639097744364108e-01,1.484941708985093383e-04
2.756892230576433178e-01,3.579931259349581263e-04
3.258145363408520012e-01,7.686417569003957959e-04
3.759398496240589083e-01,1.530883350967197822e-03
4.260651629072675917e-01,2.905235671541553637e-03
4.761904761904762751e-01,5.358058227918438207e-03
5.263157894736831821e-01,9.760480499142352648e-03
5.764411027568918655e-01,1.782852098938712479e-02
6.265664160400987726e-01,3.317068346240572424e-02
6.766917293233074560e-01,6.398709322768142416e-02
7.268170426065161394e-01,1.304852810810804009e-01
7.769423558897230464e-01,2.840870578456342055e-01
8.270676691729317298e-01,6.186142737884535725e-01
8.771929824561404132e-01,9.826637337281988183e-01
9.273182957393473203e-01,8.619976299388089069e-01
9.774436090225560037e-01,5.879883259005254104e-01
1.027568922305764687e+00,4.116252779719593580e-01
1.077694235588971594e+00,3.107640339472773627e-01
1.127819548872180277e+00,2.506928261453155171e-01
1.177944862155387185e+00,2.128762808928120753e-01
1.228070175438595868e+00,1.880014751165231257e-01
1.278195488721804551e+00,1.711762054996937843e-01
1.328320802005011458e+00,1.596771895703991417e-01
1.378446115288220142e+00,1.519070675261991188e-01
1.428571428571427049e+00,1.468886538425942245e-01
1.478696741854635732e+00,1.440059416536019210e-01
1.528822055137844416e+00,1.428645143513318783e-01
1.578947368421051323e+00,1.432129306361947796e-01
1.629072681704260006e+00,1.448968693113922013e-01
1.679197994987468689e+00,1.478317358170033180e-01
1.729323308270675597e+00,1.519861633657593192e-01
1.779448621553884280e+00,1.573722508115944774e-01
1.829573934837092963e+00,1.640401797086610269e-01
1.879699248120299870e+00,1.720758377996148281e-01
1.929824561403508554e+00,1.816006270020695534e-01
1.979949874686715461e+00,1.927729384406097757e-01
2.030075187969924144e+00,2.057909254850064096e-01
2.080200501253132828e+00,2.208962344879817630e-01
2.130325814536339735e+00,2.383782629346968274e-01
2.180451127819548418e+00,2.585782774693458630e-01
